concept,database,domain,code,display_name,new_domain,new_code
01-Demographics#gender,SHHS,gender12,1,Male,gender12_hmn,1
01-Demographics#gender,SHHS,gender12,2,Female,gender12_hmn,2
01-Demographics#gender,CHAT,fm,0,Female,gender12_hmn,2
01-Demographics#gender,CHAT,fm,1,Male,gender12_hmn,1
01-Demographics#race,SHHS,race123,1,White,race123_hmn,1
01-Demographics#race,SHHS,race123,2,Black,race123_hmn,2
01-Demographics#race,SHHS,race123,3,Other,race123_hmn,3
01-Demographics#race,CHAT,race3,1,Black,race123_hmn,2
01-Demographics#race,CHAT,race3,2,White,race123_hmn,1
01-Demographics#race,CHAT,race3,7,Other,race123_hmn,3
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,1,1+ 0 - 25%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,2,2+ 26 - 50%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,3,3+ 51 - 75%,tonsilarsize1299_hmn,2
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,4,4+ 76 - 100%,tonsilarsize1299_hmn,2
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,99,Not done,tonsilarsize1299_hmn,99
02-Anthropometry#tonsilsize,CHAT,tonsilarsize,1,0-50%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilarsize,2,51-100%,tonsilarsize1299_hmn,2
04A-MedicalHistory-SleepDisorders#cpaphist,CHAT,noyes,0,No,noyes_hmn,0
04A-MedicalHistory-SleepDisorders#cpaphist,CHAT,noyes,1,Yes,noyes_hmn,1
04A-MedicalHistory-SleepDisorders#cpaphist,CHAT,check,0,Not checked,noyes_hmn,0
04A-MedicalHistory-SleepDisorders#cpaphist,CHAT,check,1,Checked,noyes_hmn,1
