concept,database,domain,code,display_name,new_domain,new_code
01-Demographics#ethnicity,SHHS,ethnicity12,1,Hispanic or Latino,ethnicity12_hmn,1
01-Demographics#ethnicity,SHHS,ethnicity12,2,Not Hispanic or Latino,ethnicity12_hmn,2
01-Demographics#ethnicity,CHAT,ethnicity,1,Hispanic or Latino,ethnicity12_hmn,1
01-Demographics#ethnicity,CHAT,ethnicity,2,Not Hispanic or Latino,ethnicity12_hmn,2
01-Demographics#ethnicity,CFS,ethnicity01,0,Not Hispanic or Latino,ethnicity12_hmn,2
01-Demographics#ethnicity,CFS,ethnicity01,1,Hispanic or Latino,ethnicity12_hmn,1
01-Demographics#gender,SHHS,gender12,1,Male,gender12_hmn,1
01-Demographics#gender,SHHS,gender12,2,Female,gender12_hmn,2
01-Demographics#gender,CHAT,sex,1,Male,gender12_hmn,1
01-Demographics#gender,CHAT,sex,2,Female,gender12_hmn,2
01-Demographics#gender,HEARTBEAT,sex,1,Male,gender12_hmn,1
01-Demographics#gender,HEARTBEAT,sex,0,Female,gender12_hmn,2
01-Demographics#gender,CFS,gender01,0,Female,gender12_hmn,2
01-Demographics#gender,CFS,gender01,1,Male,gender12_hmn,1
01-Demographics#race,SHHS,race123,1,White,race123_hmn,1
01-Demographics#race,SHHS,race123,2,Black,race123_hmn,2
01-Demographics#race,SHHS,race123,3,Other,race123_hmn,3
01-Demographics#race,CHAT,race3,1,Black,race123_hmn,2
01-Demographics#race,CHAT,race3,2,White,race123_hmn,1
01-Demographics#race,CHAT,race3,7,Other,race123_hmn,3
01-Demographics#race,HEARTBEAT,racehb,1,African American or Black,race123_hmn,2
01-Demographics#race,HEARTBEAT,racehb,2,Caucasian,race123_hmn,1
01-Demographics#race,HEARTBEAT,racehb,7,Other,race123_hmn,3
01-Demographics#race,CFS,race123,1,White,race123_hmn,1
01-Demographics#race,CFS,race123,2,Black,race123_hmn,2
01-Demographics#race,CFS,race123,3,Other,race123_hmn,3
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,1,1+ 0 - 25%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,2,2+ 26 - 50%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,3,3+ 51 - 75%,tonsilarsize1299_hmn,2
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,4,4+ 76 - 100%,tonsilarsize1299_hmn,2
