category,display_name,id,shhs,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age_s1,Age at SHHS1,SHHS1,Baseline PSG,Calculated,Start date of baseline PSG  - date of birth,,
01 - Demographics,Age,age,age_s2,Age at SHHS2,SHHS2,Follow-up visit,Calculated,Follow-up visit date - date of birth,,
01 - Demographics,Ethnicity,ethnicity,ethnicity,Ethnicity,SHHS,,Reported by parent cohort,,,
01 - Demographics,Gender,gender,gender,Gender,SHHS, ,Reported by parent cohort,,,
01 - Demographics,Race,race,race,Race,SHHS,,Reported by parent cohort,,,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,,,,,,,,
01 - Demographics,Employed,employed,,,,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,bmi_s1,BMI (SHHS1),SHHS1,Baseline visit,Calculated,( weight / ( height * height ) ),,
02 - Anthropometry,Body mass index,bmi,bmi_s2,BMI (SHHS2),SHHS2,Follow-up visit,Calculated,( pm202 / ( pm207 * pm207 ) ),,
02 - Anthropometry,Height,height,height,Height (SHHS1),SHHS1,,Reported by parent cohort,,,
02 - Anthropometry,Hip circumference,hipcircum,hip,Hip Circumference (SHHS1),SHHS1,,Reported by parent cohort,,,
02 - Anthropometry,Neck circumference,neckcircum,neck20,Neck Circumference (SHHS1),SHHS1,Baseline visit,Measured,,inelastic tape measure,
02 - Anthropometry,Waist circumference,waistcirum,waist,Waist Circumference (SHHS1),SHHS1,,Reported by parent cohort,,,
02 - Anthropometry,Weight,weight,weight,Weight (SHHS1),SHHS1,Baseline Visit,Measured,,SECA Integra 815 digital scale (or other),
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,diasbp,Average Diastolic BP (SHHS1),SHHS1,Baseline visit,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,avg23bpd_s2,Average Diastolic BP (SHHS2),SHHS2,Follow-up visit,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,systbp,Average Systolic BP (SHHS1),SHHS1,Baseline visit,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,avg23bps_s2,Average Systolic BP (SHHS2),SHHS2,Follow-up visit,Measured,,Sphygnomanometer - mercury,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,afib_s2,Atrial fibrillation or flutter,SHHS,Follow-up visit,Electrocardiogram review,,Electrocardiograph - 12 lead,
04 - Medical History,Asthma,asthmahist,asthma15,History of Asthma (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Asthma,asthmahist,hi201d,History of Asthma (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04 - Medical History,Asthma,asthmahist,asth1215,Asthma attack in last 12 months (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Asthma,asthmahist,hi201e,Current Asthma (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04 - Medical History,Coronary artery disease - history,cadhist,angina15,MD Reported Angina (SHHS1),SHHS,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Coronary artery disease - history,cadhist,ca15,MD Reported Coronary Angioplasty (SHHS1),SHHS,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Coronary artery disease - history,cadhist,cabg15,MD Reported CABG (SHHS1),SHHS,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Myocardial infarction - history,mihist,mi15,MD Reported MI (SHHS1),SHHS,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Myocardial infarction - history,mihist,prev_hx_mi,Previous history of MI,SHHS1,Baseline visit,Reported by subject,,Health interview,
04 - Medical History,Cardiovascular disease - history,cvdishist,othrcs15,MD Reported Other Heart Surgery (SHHS1),SHHS,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,copd15,History of COPD (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
